"eventID","measurementType","measurementValue"
"0084","poapra","46.72"
"0084","broine","24.36"
"0084","forb.cover","15.88"
"0084","ave.forb.richness.quad","1.55"
"0084","max.forb.richness.quad","4"
"0084","forb.veg.richness","15"
"0084","forb.veg.shannon","1.74"
"0084","forb.veg.simpson","3.36"
"0084","forb.veg.even","0.64"
"0084","ratio.invasive.grass.to.forbs","4.48"
"0119","litter","67.97"
"0119","litter.depth","7.72"
"0119","poapra","22.47"
"0119","broine","26.52"
"0119","forb.cover","9.19"
"0119","ave.forb.richness.quad","1.38"
"0119","max.forb.richness.quad","6"
"0119","forb.veg.richness","15"
"0119","forb.veg.shannon","1.61"
"0119","forb.veg.simpson","2.81"
"0119","forb.veg.even","0.59"
"0119","ratio.invasive.grass.to.forbs","5.33"
"0046","litter","69.16"
"0046","litter.depth","2.59"
"0046","poapra","69.93"
"0046","broine","0.54"
"0046","forb.cover","19.46"
"0046","ave.forb.richness.quad","2.89"
"0046","max.forb.richness.quad","7"
"0046","forb.veg.richness","21"
"0046","forb.veg.shannon","1.82"
"0046","forb.veg.simpson","3.84"
"0046","forb.veg.even","0.6"
"0046","ratio.invasive.grass.to.forbs","3.62"
"0093","litter","70.78"
"0093","litter.depth","3.14"
"0093","poapra","0.61"
"0093","broine","0.78"
"0093","forb.cover","12.64"
"0093","ave.forb.richness.quad","2.8"
"0093","max.forb.richness.quad","8"
"0093","forb.veg.richness","20"
"0093","forb.veg.shannon","2.16"
"0093","forb.veg.simpson","4.82"
"0093","forb.veg.even","0.72"
"0093","ratio.invasive.grass.to.forbs","0.11"
"0097","litter","88.32"
"0097","litter.depth","4.85"
"0097","poapra","0"
"0097","broine","2.7"
"0097","forb.cover","6.05"
"0097","ave.forb.richness.quad","1.96"
"0097","max.forb.richness.quad","4"
"0097","forb.veg.richness","19"
"0097","forb.veg.shannon","2.51"
"0097","forb.veg.simpson","9.33"
"0097","forb.veg.even","0.85"
"0097","ratio.invasive.grass.to.forbs","0.45"
"0054","litter","72.13"
"0054","litter.depth","5.86"
"0054","poapra","50.71"
"0054","broine","5.64"
"0054","forb.cover","6.01"
"0054","ave.forb.richness.quad","0.66"
"0054","max.forb.richness.quad","5"
"0054","forb.veg.richness","11"
"0054","forb.veg.shannon","2.12"
"0054","forb.veg.simpson","7.54"
"0054","forb.veg.even","0.88"
"0054","ratio.invasive.grass.to.forbs","9.37"
"0031","litter","65.78"
"0031","litter.depth","6.54"
"0031","poapra","13.99"
"0031","broine","13.24"
"0031","forb.cover","13.75"
"0031","ave.forb.richness.quad","2.12"
"0031","max.forb.richness.quad","7"
"0031","forb.veg.richness","22"
"0031","forb.veg.shannon","2.11"
"0031","forb.veg.simpson","4.78"
"0031","forb.veg.even","0.68"
"0031","ratio.invasive.grass.to.forbs","1.98"
"0141","litter","36.96"
"0141","litter.depth","3.65"
"0141","poapra","56.05"
"0141","broine","16.05"
"0141","forb.cover","48.28"
"0141","ave.forb.richness.quad","4.36"
"0141","max.forb.richness.quad","10"
"0141","forb.veg.richness","35"
"0141","forb.veg.shannon","2.38"
"0141","forb.veg.simpson","6.06"
"0141","forb.veg.even","0.67"
"0141","ratio.invasive.grass.to.forbs","1.49"
"0140","litter","22.17"
"0140","litter.depth","5.16"
"0140","poapra","74.28"
"0140","broine","12.04"
"0140","forb.cover","8.09"
"0140","ave.forb.richness.quad","0.71"
"0140","max.forb.richness.quad","2"
"0140","forb.veg.richness","2"
"0140","forb.veg.shannon","0.22"
"0140","forb.veg.simpson","1.12"
"0140","forb.veg.even","0.32"
"0140","ratio.invasive.grass.to.forbs","10.67"
"0099","litter","76.89"
"0099","litter.depth","2.88"
"0099","poapra","0"
"0099","broine","0.03"
"0099","forb.cover","5.74"
"0099","ave.forb.richness.quad","1.89"
"0099","max.forb.richness.quad","6"
"0099","forb.veg.richness","17"
"0099","forb.veg.shannon","2.37"
"0099","forb.veg.simpson","7.97"
"0099","forb.veg.even","0.84"
"0099","ratio.invasive.grass.to.forbs","0.01"
"0296","litter","54.59"
"0296","litter.depth","0.83"
"0296","poapra","0"
"0296","broine","0"
"0296","forb.cover","8.45"
"0296","ave.forb.richness.quad","1.42"
"0296","max.forb.richness.quad","4"
"0296","forb.veg.richness","16"
"0296","forb.veg.shannon","1.93"
"0296","forb.veg.simpson","4.65"
"0296","forb.veg.even","0.7"
"0296","ratio.invasive.grass.to.forbs","0"
"0101","litter","92.5"
"0101","litter.depth","8.14"
"0101","poapra","0"
"0101","broine","6.45"
"0101","forb.cover","4.9"
"0101","ave.forb.richness.quad","1.64"
"0101","max.forb.richness.quad","6"
"0101","forb.veg.richness","13"
"0101","forb.veg.shannon","2.2"
"0101","forb.veg.simpson","7.38"
"0101","forb.veg.even","0.86"
"0101","ratio.invasive.grass.to.forbs","1.32"
"0123","litter","63.4"
"0123","litter.depth","6.51"
"0123","poapra","43.82"
"0123","broine","0.03"
"0123","forb.cover","38.28"
"0123","ave.forb.richness.quad","3.91"
"0123","max.forb.richness.quad","10"
"0123","forb.veg.richness","30"
"0123","forb.veg.shannon","2.74"
"0123","forb.veg.simpson","12.05"
"0123","forb.veg.even","0.8"
"0123","ratio.invasive.grass.to.forbs","1.15"
"0039","litter","70"
"0039","litter.depth","7.42"
"0039","poapra","9.46"
"0039","broine","7.6"
"0039","forb.cover","3.92"
"0039","ave.forb.richness.quad","0.55"
"0039","max.forb.richness.quad","2"
"0039","forb.veg.richness","5"
"0039","forb.veg.shannon","0.47"
"0039","forb.veg.simpson","1.26"
"0039","forb.veg.even","0.29"
"0039","ratio.invasive.grass.to.forbs","4.35"
"0219","litter","55.2"
"0219","litter.depth","2.4"
"0219","poapra","46.42"
"0219","broine","24.9"
"0219","forb.cover","18.75"
"0219","ave.forb.richness.quad","2.42"
"0219","max.forb.richness.quad","5"
"0219","forb.veg.richness","11"
"0219","forb.veg.shannon","1.71"
"0219","forb.veg.simpson","4.15"
"0219","forb.veg.even","0.71"
"0219","ratio.invasive.grass.to.forbs","3.8"
"0227","litter","64.86"
"0227","litter.depth","7.48"
"0227","poapra","45.14"
"0227","broine","4.49"
"0227","forb.cover","13.68"
"0227","ave.forb.richness.quad","2.14"
"0227","max.forb.richness.quad","5"
"0227","forb.veg.richness","13"
"0227","forb.veg.shannon","1.93"
"0227","forb.veg.simpson","5.59"
"0227","forb.veg.even","0.75"
"0227","ratio.invasive.grass.to.forbs","3.63"
"0164","litter","60.07"
"0164","litter.depth","4.41"
"0164","poapra","33.65"
"0164","broine","30.64"
"0164","forb.cover","24.56"
"0164","ave.forb.richness.quad","2.27"
"0164","max.forb.richness.quad","7"
"0164","forb.veg.richness","25"
"0164","forb.veg.shannon","2.37"
"0164","forb.veg.simpson","6.95"
"0164","forb.veg.even","0.74"
"0164","ratio.invasive.grass.to.forbs","2.62"
"0131","litter","72.6"
"0131","litter.depth","5.76"
"0131","poapra","3.24"
"0131","broine","6.15"
"0131","forb.cover","58.68"
"0131","ave.forb.richness.quad","5.14"
"0131","max.forb.richness.quad","12"
"0131","forb.veg.richness","38"
"0131","forb.veg.shannon","2.67"
"0131","forb.veg.simpson","9.26"
"0131","forb.veg.even","0.73"
"0131","ratio.invasive.grass.to.forbs","0.16"
"0023","litter","55.54"
"0023","litter.depth","9.08"
"0023","poapra","31.39"
"0023","broine","30.44"
"0023","forb.cover","24.12"
"0023","ave.forb.richness.quad","2.28"
"0023","max.forb.richness.quad","6"
"0023","forb.veg.richness","21"
"0023","forb.veg.shannon","2.38"
"0023","forb.veg.simpson","8.62"
"0023","forb.veg.even","0.78"
"0023","ratio.invasive.grass.to.forbs","2.56"
"0025","litter","46.18"
"0025","litter.depth","8.73"
"0025","poapra","17.87"
"0025","broine","33.55"
"0025","forb.cover","20"
"0025","ave.forb.richness.quad","2.01"
"0025","max.forb.richness.quad","5"
"0025","forb.veg.richness","18"
"0025","forb.veg.shannon","1.63"
"0025","forb.veg.simpson","2.74"
"0025","forb.veg.even","0.56"
"0025","ratio.invasive.grass.to.forbs","2.57"
"0317","litter","69.79"
"0317","litter.depth","17.65"
"0317","poapra","0"
"0317","broine","41.25"
"0317","forb.cover","29.19"
"0317","ave.forb.richness.quad","2.35"
"0317","max.forb.richness.quad","6"
"0317","forb.veg.richness","24"
"0317","forb.veg.shannon","2.36"
"0317","forb.veg.simpson","7.94"
"0317","forb.veg.even","0.74"
"0317","ratio.invasive.grass.to.forbs","1.41"
"0021","litter","42.9"
"0021","litter.depth","2.25"
"0021","poapra","8.89"
"0021","broine","10.44"
"0021","forb.cover","49.09"
"0021","ave.forb.richness.quad","2.93"
"0021","max.forb.richness.quad","7"
"0021","forb.veg.richness","15"
"0021","forb.veg.shannon","1.73"
"0021","forb.veg.simpson","4.23"
"0021","forb.veg.even","0.64"
"0021","ratio.invasive.grass.to.forbs","0.39"
"0076","litter","54.53"
"0076","litter.depth","3.53"
"0076","poapra","27.74"
"0076","broine","61.69"
"0076","forb.cover","16.32"
"0076","ave.forb.richness.quad","1.82"
"0076","max.forb.richness.quad","6"
"0076","forb.veg.richness","17"
"0076","forb.veg.shannon","1.93"
"0076","forb.veg.simpson","4.42"
"0076","forb.veg.even","0.68"
"0076","ratio.invasive.grass.to.forbs","5.48"
"0124","litter","73.41"
"0124","litter.depth","2.79"
"0124","poapra","5.27"
"0124","broine","0"
"0124","forb.cover","31.54"
"0124","ave.forb.richness.quad","4.45"
"0124","max.forb.richness.quad","9"
"0124","forb.veg.richness","29"
"0124","forb.veg.shannon","2.61"
"0124","forb.veg.simpson","9.89"
"0124","forb.veg.even","0.77"
"0124","ratio.invasive.grass.to.forbs","0.17"
"0152","litter","76.11"
"0152","litter.depth","5.4"
"0152","poapra","0.41"
"0152","broine","7.06"
"0152","forb.cover","31.15"
"0152","ave.forb.richness.quad","4.03"
"0152","max.forb.richness.quad","9"
"0152","forb.veg.richness","35"
"0152","forb.veg.shannon","2.73"
"0152","forb.veg.simpson","9.26"
"0152","forb.veg.even","0.77"
"0152","ratio.invasive.grass.to.forbs","0.24"
"0105","litter","71.11"
"0105","litter.depth","2.94"
"0105","poapra","0"
"0105","broine","0.37"
"0105","forb.cover","8.31"
"0105","ave.forb.richness.quad","1.84"
"0105","max.forb.richness.quad","6"
"0105","forb.veg.richness","18"
"0105","forb.veg.shannon","2.35"
"0105","forb.veg.simpson","7.5"
"0105","forb.veg.even","0.81"
"0105","ratio.invasive.grass.to.forbs","0.04"
"0060","litter","59.35"
"0060","litter.depth","1.91"
"0060","poapra","52.03"
"0060","broine","0.07"
"0060","forb.cover","24.97"
"0060","ave.forb.richness.quad","4.47"
"0060","max.forb.richness.quad","9"
"0060","forb.veg.richness","24"
"0060","forb.veg.shannon","2.23"
"0060","forb.veg.simpson","4.84"
"0060","forb.veg.even","0.7"
"0060","ratio.invasive.grass.to.forbs","2.09"
"0058","litter","65.98"
"0058","litter.depth","1.11"
"0058","poapra","56.99"
"0058","broine","0.74"
"0058","forb.cover","5.98"
"0058","ave.forb.richness.quad","1.35"
"0058","max.forb.richness.quad","4"
"0058","forb.veg.richness","15"
"0058","forb.veg.shannon","1.8"
"0058","forb.veg.simpson","3.21"
"0058","forb.veg.even","0.67"
"0058","ratio.invasive.grass.to.forbs","9.66"
"0214","litter","14.87"
"0214","litter.depth","0.04"
"0214","poapra","16.76"
"0214","broine","2.36"
"0214","forb.cover","71.99"
"0214","ave.forb.richness.quad","6.11"
"0214","max.forb.richness.quad","12"
"0214","forb.veg.richness","36"
"0214","forb.veg.shannon","2.96"
"0214","forb.veg.simpson","15.33"
"0214","forb.veg.even","0.83"
"0214","ratio.invasive.grass.to.forbs","0.27"
"0013","litter","82.84"
"0013","litter.depth","6.69"
"0013","poapra","19.9"
"0013","broine","5.88"
"0013","forb.cover","29.49"
"0013","ave.forb.richness.quad","3.28"
"0013","max.forb.richness.quad","6"
"0013","forb.veg.richness","24"
"0013","forb.veg.shannon","1.79"
"0013","forb.veg.simpson","2.91"
"0013","forb.veg.even","0.56"
"0013","ratio.invasive.grass.to.forbs","0.87"
"0172","litter","74.39"
"0172","litter.depth","6.31"
"0172","poapra","13.34"
"0172","broine","26.93"
"0172","forb.cover","15.91"
"0172","ave.forb.richness.quad","2.04"
"0172","max.forb.richness.quad","7"
"0172","forb.veg.richness","22"
"0172","forb.veg.shannon","2.29"
"0172","forb.veg.simpson","6.98"
"0172","forb.veg.even","0.74"
"0172","ratio.invasive.grass.to.forbs","2.53"
"0037","litter","72.06"
"0037","litter.depth","6.82"
"0037","poapra","3.38"
"0037","broine","24.22"
"0037","forb.cover","12.23"
"0037","ave.forb.richness.quad","1.68"
"0037","max.forb.richness.quad","5"
"0037","forb.veg.richness","12"
"0037","forb.veg.shannon","1.41"
"0037","forb.veg.simpson","3.02"
"0037","forb.veg.even","0.57"
"0037","ratio.invasive.grass.to.forbs","2.26"
"0186","litter","62.3"
"0186","litter.depth","4.86"
"0186","poapra","16.99"
"0186","broine","28.61"
"0186","forb.cover","17.03"
"0186","ave.forb.richness.quad","1.84"
"0186","max.forb.richness.quad","6"
"0186","forb.veg.richness","19"
"0186","forb.veg.shannon","2.15"
"0186","forb.veg.simpson","6.04"
"0186","forb.veg.even","0.73"
"0186","ratio.invasive.grass.to.forbs","2.68"
"0225","litter","61.42"
"0225","litter.depth","4.96"
"0225","poapra","50.51"
"0225","broine","23.21"
"0225","forb.cover","19.36"
"0225","ave.forb.richness.quad","3.11"
"0225","max.forb.richness.quad","8"
"0225","forb.veg.richness","15"
"0225","forb.veg.shannon","2.26"
"0225","forb.veg.simpson","7.93"
"0225","forb.veg.even","0.84"
"0225","ratio.invasive.grass.to.forbs","3.81"
"0302","litter","61.89"
"0302","litter.depth","2.01"
"0302","poapra","46.79"
"0302","broine","6.35"
"0302","forb.cover","14.7"
"0302","ave.forb.richness.quad","2.35"
"0302","max.forb.richness.quad","5"
"0302","forb.veg.richness","18"
"0302","forb.veg.shannon","2.01"
"0302","forb.veg.simpson","5.04"
"0302","forb.veg.even","0.7"
"0302","ratio.invasive.grass.to.forbs","3.62"
"0188","litter","63.45"
"0188","litter.depth","7.42"
"0188","poapra","17.87"
"0188","broine","24.83"
"0188","forb.cover","32.74"
"0188","ave.forb.richness.quad","2.43"
"0188","max.forb.richness.quad","6"
"0188","forb.veg.richness","21"
"0188","forb.veg.shannon","1.69"
"0188","forb.veg.simpson","2.98"
"0188","forb.veg.even","0.56"
"0188","ratio.invasive.grass.to.forbs","1.3"
"0006","litter","45.74"
"0006","litter.depth","3.78"
"0006","poapra","24.19"
"0006","broine","8.58"
"0006","forb.cover","44.12"
"0006","ave.forb.richness.quad","5.08"
"0006","max.forb.richness.quad","12"
"0006","forb.veg.richness","34"
"0006","forb.veg.shannon","2.59"
"0006","forb.veg.simpson","8.45"
"0006","forb.veg.even","0.73"
"0006","ratio.invasive.grass.to.forbs","0.74"
"0210","litter","56.96"
"0210","litter.depth","23.22"
"0210","poapra","23.11"
"0210","broine","29.63"
"0210","forb.cover","12.09"
"0210","ave.forb.richness.quad","1.49"
"0210","max.forb.richness.quad","5"
"0210","forb.veg.richness","19"
"0210","forb.veg.shannon","2.16"
"0210","forb.veg.simpson","4.79"
"0210","forb.veg.even","0.73"
"0210","ratio.invasive.grass.to.forbs","4.36"
"0114","litter","63.39"
"0114","litter.depth","6.81"
"0114","poapra","50.1"
"0114","broine","23.31"
"0114","forb.cover","33.45"
"0114","ave.forb.richness.quad","3.68"
"0114","max.forb.richness.quad","10"
"0114","forb.veg.richness","36"
"0114","forb.veg.shannon","2.87"
"0114","forb.veg.simpson","12.25"
"0114","forb.veg.even","0.8"
"0114","ratio.invasive.grass.to.forbs","2.19"
"0200","litter","29.97"
"0200","litter.depth","2.16"
"0200","poapra","11.59"
"0200","broine","3.78"
"0200","forb.cover","27.13"
"0200","ave.forb.richness.quad","3.64"
"0200","max.forb.richness.quad","7"
"0200","forb.veg.richness","22"
"0200","forb.veg.shannon","2.43"
"0200","forb.veg.simpson","8.96"
"0200","forb.veg.even","0.79"
"0200","ratio.invasive.grass.to.forbs","0.57"
"0017","litter","61.55"
"0017","litter.depth","4.69"
"0017","poapra","34.63"
"0017","broine","13.99"
"0017","forb.cover","8.34"
"0017","ave.forb.richness.quad","0.68"
"0017","max.forb.richness.quad","3"
"0017","forb.veg.richness","9"
"0017","forb.veg.shannon","0.83"
"0017","forb.veg.simpson","1.55"
"0017","forb.veg.even","0.38"
"0017","ratio.invasive.grass.to.forbs","5.83"
"0086","litter","77.97"
"0086","litter.depth","2.61"
"0086","poapra","43.99"
"0086","broine","7.33"
"0086","forb.cover","3.11"
"0086","ave.forb.richness.quad","0.91"
"0086","max.forb.richness.quad","3"
"0086","forb.veg.richness","10"
"0086","forb.veg.shannon","1.43"
"0086","forb.veg.simpson","2.64"
"0086","forb.veg.even","0.62"
"0086","ratio.invasive.grass.to.forbs","16.51"
"0115","litter","80.91"
"0115","litter.depth","1.46"
"0115","poapra","0"
"0115","broine","0.03"
"0115","forb.cover","5.71"
"0115","ave.forb.richness.quad","1.23"
"0115","max.forb.richness.quad","4"
"0115","forb.veg.richness","12"
"0115","forb.veg.shannon","1.64"
"0115","forb.veg.simpson","3.71"
"0115","forb.veg.even","0.66"
"0115","ratio.invasive.grass.to.forbs","0.01"
"0109","litter","28.13"
"0109","litter.depth","2.15"
"0109","poapra","21.15"
"0109","broine","32.91"
"0109","forb.cover","15.98"
"0109","ave.forb.richness.quad","1.91"
"0109","max.forb.richness.quad","5"
"0109","forb.veg.richness","24"
"0109","forb.veg.shannon","2.86"
"0109","forb.veg.simpson","14.79"
"0109","forb.veg.even","0.9"
"0109","ratio.invasive.grass.to.forbs","3.38"
"0117","litter","39.48"
"0117","litter.depth","2.07"
"0117","poapra","19.63"
"0117","broine","1.01"
"0117","forb.cover","20.07"
"0117","ave.forb.richness.quad","3.78"
"0117","max.forb.richness.quad","10"
"0117","forb.veg.richness","30"
"0117","forb.veg.shannon","2.91"
"0117","forb.veg.simpson","14.09"
"0117","forb.veg.even","0.85"
"0117","ratio.invasive.grass.to.forbs","1.03"
"0298","litter","32.28"
"0298","litter.depth","0.98"
"0298","poapra","18.68"
"0298","broine","2.57"
"0298","forb.cover","21.11"
"0298","ave.forb.richness.quad","3.99"
"0298","max.forb.richness.quad","9"
"0298","forb.veg.richness","27"
"0298","forb.veg.shannon","2.71"
"0298","forb.veg.simpson","11.19"
"0298","forb.veg.even","0.82"
"0298","ratio.invasive.grass.to.forbs","1.01"
"0239","litter","76.86"
"0239","litter.depth","3.99"
"0239","poapra","0.1"
"0239","broine","0.14"
"0239","forb.cover","18.92"
"0239","ave.forb.richness.quad","2.57"
"0239","max.forb.richness.quad","5"
"0239","forb.veg.richness","20"
"0239","forb.veg.shannon","1.89"
"0239","forb.veg.simpson","3.5"
"0239","forb.veg.even","0.63"
"0239","ratio.invasive.grass.to.forbs","0.01"
"0229","litter","55.44"
"0229","litter.depth","2.18"
"0229","poapra","50.78"
"0229","broine","16.99"
"0229","forb.cover","26.79"
"0229","ave.forb.richness.quad","2.31"
"0229","max.forb.richness.quad","5"
"0229","forb.veg.richness","18"
"0229","forb.veg.shannon","2.17"
"0229","forb.veg.simpson","6.91"
"0229","forb.veg.even","0.75"
"0229","ratio.invasive.grass.to.forbs","2.53"
"0182","litter","45.34"
"0182","litter.depth","3.22"
"0182","poapra","44.8"
"0182","broine","6.35"
"0182","forb.cover","51.17"
"0182","ave.forb.richness.quad","6.03"
"0182","max.forb.richness.quad","14"
"0182","forb.veg.richness","44"
"0182","forb.veg.shannon","2.68"
"0182","forb.veg.simpson","8.12"
"0182","forb.veg.even","0.71"
"0182","ratio.invasive.grass.to.forbs","1"
"0184","litter","90.74"
"0184","litter.depth","1.59"
"0184","poapra","24.46"
"0184","broine","2.5"
"0184","forb.cover","21.96"
"0184","ave.forb.richness.quad","5.92"
"0184","max.forb.richness.quad","11"
"0184","forb.veg.richness","36"
"0184","forb.veg.shannon","2.99"
"0184","forb.veg.simpson","13.9"
"0184","forb.veg.even","0.83"
"0184","ratio.invasive.grass.to.forbs","1.23"
"0213","litter","8.88"
"0213","litter.depth","3.46"
"0213","poapra","10.34"
"0213","broine","2.2"
"0213","forb.cover","46.28"
"0213","ave.forb.richness.quad","4.53"
"0213","max.forb.richness.quad","9"
"0213","forb.veg.richness","24"
"0213","forb.veg.shannon","2.46"
"0213","forb.veg.simpson","9.21"
"0213","forb.veg.even","0.77"
"0213","ratio.invasive.grass.to.forbs","0.27"
"0176","litter","80.74"
"0176","litter.depth","2.34"
"0176","poapra","1.52"
"0176","broine","1.32"
"0176","forb.cover","22.47"
"0176","ave.forb.richness.quad","3.12"
"0176","max.forb.richness.quad","11"
"0176","forb.veg.richness","18"
"0176","forb.veg.shannon","2.05"
"0176","forb.veg.simpson","5.5"
"0176","forb.veg.even","0.71"
"0176","ratio.invasive.grass.to.forbs","0.13"
"0309","litter","66.93"
"0309","litter.depth","5.18"
"0309","poapra","13.34"
"0309","broine","2.36"
"0309","forb.cover","36.93"
"0309","ave.forb.richness.quad","3"
"0309","max.forb.richness.quad","6"
"0309","forb.veg.richness","22"
"0309","forb.veg.shannon","2.47"
"0309","forb.veg.simpson","9.14"
"0309","forb.veg.even","0.8"
"0309","ratio.invasive.grass.to.forbs","0.43"
"0243","litter","83.94"
"0243","litter.depth","5.48"
"0243","poapra","0"
"0243","broine","0"
"0243","forb.cover","4.39"
"0243","ave.forb.richness.quad","1.39"
"0243","max.forb.richness.quad","5"
"0243","forb.veg.richness","11"
"0243","forb.veg.shannon","1.33"
"0243","forb.veg.simpson","2.7"
"0243","forb.veg.even","0.56"
"0243","ratio.invasive.grass.to.forbs","0"
"0241","litter","44.73"
"0241","litter.depth","3.97"
"0241","poapra","39.12"
"0241","broine","16.55"
"0241","forb.cover","3.92"
"0241","ave.forb.richness.quad","0.57"
"0241","max.forb.richness.quad","4"
"0241","forb.veg.richness","11"
"0241","forb.veg.shannon","1.58"
"0241","forb.veg.simpson","3.28"
"0241","forb.veg.even","0.66"
"0241","ratio.invasive.grass.to.forbs","14.21"
"0249","litter","15"
"0249","litter.depth","3.34"
"0249","poapra","52.8"
"0249","broine","1.15"
"0249","forb.cover","27.36"
"0249","ave.forb.richness.quad","2.43"
"0249","max.forb.richness.quad","9"
"0249","forb.veg.richness","31"
"0249","forb.veg.shannon","2.52"
"0249","forb.veg.simpson","8.66"
"0249","forb.veg.even","0.74"
"0249","ratio.invasive.grass.to.forbs","1.97"
"0136","litter","75.81"
"0136","litter.depth","11.42"
"0136","poapra","18.65"
"0136","broine","34.43"
"0136","forb.cover","10.03"
"0136","ave.forb.richness.quad","0.82"
"0136","max.forb.richness.quad","4"
"0136","forb.veg.richness","11"
"0136","forb.veg.shannon","1.65"
"0136","forb.veg.simpson","4.05"
"0136","forb.veg.even","0.69"
"0136","ratio.invasive.grass.to.forbs","5.29"
"0266","litter","51.49"
"0266","litter.depth","2.8"
"0266","poapra","25"
"0266","broine","16.15"
"0266","forb.cover","24.09"
"0266","ave.forb.richness.quad","2.66"
"0266","max.forb.richness.quad","5"
"0266","forb.veg.richness","22"
"0266","forb.veg.shannon","2.3"
"0266","forb.veg.simpson","6.51"
"0266","forb.veg.even","0.74"
"0266","ratio.invasive.grass.to.forbs","1.71"
"0252","litter","64.73"
"0252","litter.depth","2.54"
"0252","poapra","14.7"
"0252","broine","3.51"
"0252","forb.cover","18.48"
"0252","ave.forb.richness.quad","4.04"
"0252","max.forb.richness.quad","9"
"0252","forb.veg.richness","40"
"0252","forb.veg.shannon","2.93"
"0252","forb.veg.simpson","10.05"
"0252","forb.veg.even","0.79"
"0252","ratio.invasive.grass.to.forbs","0.99"
"0268","litter","50.51"
"0268","litter.depth","2.92"
"0268","poapra","12.43"
"0268","broine","19.12"
"0268","forb.cover","42.4"
"0268","ave.forb.richness.quad","5.72"
"0268","max.forb.richness.quad","11"
"0268","forb.veg.richness","31"
"0268","forb.veg.shannon","2.05"
"0268","forb.veg.simpson","3.68"
"0268","forb.veg.even","0.6"
"0268","ratio.invasive.grass.to.forbs","0.74"
"0127","litter","35.75"
"0127","litter.depth","3.4"
"0127","poapra","52.33"
"0127","broine","28.78"
"0127","forb.cover","49.53"
"0127","ave.forb.richness.quad","4.54"
"0127","max.forb.richness.quad","9"
"0127","forb.veg.richness","34"
"0127","forb.veg.shannon","2.36"
"0127","forb.veg.simpson","5.45"
"0127","forb.veg.even","0.67"
"0127","ratio.invasive.grass.to.forbs","1.64"
"0300","litter","50.88"
"0300","litter.depth","5.27"
"0300","poapra","0.88"
"0300","broine","0"
"0300","forb.cover","67.36"
"0300","ave.forb.richness.quad","6.46"
"0300","max.forb.richness.quad","11"
"0300","forb.veg.richness","31"
"0300","forb.veg.shannon","2.74"
"0300","forb.veg.simpson","9.75"
"0300","forb.veg.even","0.8"
"0300","ratio.invasive.grass.to.forbs","0.01"
"0237","litter","56.52"
"0237","litter.depth","1.99"
"0237","poapra","23.28"
"0237","broine","34.09"
"0237","forb.cover","31.89"
"0237","ave.forb.richness.quad","3.81"
"0237","max.forb.richness.quad","10"
"0237","forb.veg.richness","18"
"0237","forb.veg.shannon","2.06"
"0237","forb.veg.simpson","4.92"
"0237","forb.veg.even","0.71"
"0237","ratio.invasive.grass.to.forbs","1.8"
